Food Name
"amaranth, flour"
"apples, fuji"
"apples, fuji, with skin, raw"
"apples, gala"
"apples, gala, with skin, raw"
"apples, granny smith"
"apples, granny smith, with skin, raw"
"apples, honeycrisp"
"apples, honeycrisp, with skin, raw"
"apples, red delicious"
"apples, red delicious, with skin, raw"
"apricot, with skin, pitted, raw"
"apricot, with skin, raw"
"arugula, baby, raw"
"asparagus, green, whole spear, raw"
"avocado, hass, peeled, pit removed, raw"
"avocado, hass, peeled, raw"
"bananas, overripe"
"bananas, overripe, medium size"
"bananas, overripe, raw"
"bananas, ripe"
"bananas, ripe and slightly ripe, raw"
"bananas, ripe, medium size"
"bananas, slightly ripe"
"bananas, slightly ripe, medium size"
"beans, cannellini, dry"
"beans, chickpeas/garbanzos, dry"
"beans, dry, great northern, 396 (0% moisture)"
"beans, dry, great northern, 401 (0% moisture)"
"beans, dry, great northern, 402 (0% moisture)"
"beans, dry, great northern, 406 (0% moisture)"
"beans, dry, great northern, 407 (0% moisture)"
"beans, dry, great northern, 412 (0% moisture)"
"beans, dry, great northern, 415 (0% moisture)"
"beans, dry, great northern, 418 (0% moisture)"
"beans, dry, great northern, 423 (0% moisture)"
"beans, dry, great northern, 429 (0% moisture)"
"beans, dry, great northern, 434 (0% moisture)"
"beans, dry, great northern, 438 (0% moisture)"
"beans, dry, great northern, 441 (0% moisture)"
"beans, dry, great northern, 444 (0% moisture)"
"beans, dry, great northern, 446 (0% moisture)"
"beans, dry, great northern, 447 (0% moisture)"
"beans, dry, great northern, 449 (0% moisture)"
"beans, dry, great northern, 453 (0% moisture)"
"beans, dry, great northern, 457 (0% moisture)"
"beans, dry, great northern, 458 (0% moisture)"
"beans, dry, great northern, 460 (0% moisture)"
"beans, dry, great northern, 467 (0% moisture)"
"beans, dry, great northern, 474 (0% moisture)"
"beans, dry, great northern, 485 (0% moisture)"
"beans, dry, great northern, 495 (0% moisture)"
"beans, dry, great northern, 501 (0% moisture)"
"beans, dry, great northern, 507 (0% moisture)"
"beans, dry, great northern, 514 (0% moisture)"
"beans, dry, great northern, 518 (0% moisture)"
"beans, dry, great northern, 519 (0% moisture)"
"beans, dry, great northern, 579 (0% moisture)"
"beans, dry, great northern, 581 (0% moisture)"
"beans, dry, great northern, 594 (0% moisture)"
"beans, dry, great northern, 616 (0% moisture)"
"beans, dry, great northern, 637 (0% moisture)"
"beans, dry, great northern, 638 (0% moisture)"
"beans, dry, great northern, 644 (0% moisture)"
"beans, dry, great northern, 648 (0% moisture)"
"beans, dry, great northern, 651 (0% moisture)"
"beans, dry, great northern, 655 (0% moisture)"
"beans, dry, great northern, 656 (0% moisture)"
"beans, dry, great northern, 658 (0% moisture)"
"beans, dry, great northern, 662 (0% moisture)"
"beans, dry, great northern, 666 (0% moisture)"
"beans, dry, great northern, 672 (0% moisture)"
"beans, dry, great northern, 675 (0% moisture)"
"beans, dry, great northern, 680 (0% moisture)"
"beans, dry, great northern, 683 (0% moisture)"
"beans, dry, great northern, 688 (0% moisture)"
"beans, dry, great northern, 689 (0% moisture)"
"beans, dry, great northern, 693 (0% moisture)"
"beans, dry, great northern, 694 (0% moisture)"
"beans, dry, great northern, 697 (0% moisture)"
"beans, dry, great northern, 706 (0% moisture)"
"beans, dry, great northern, 713 (0% moisture)"
"beans, dry, great northern, 716 (0% moisture)"
