Food Name
Ackee (cooked)
"Acorn Squash, Baked, No Salt"
African Basil (raw)
African Eggplant (cooked)
African Locust Bean (cooked)
Ajwain Leaves (Carom)
Akebi Fruit
Alfalfa Sprouts
Almonds
Amaranth (cooked)
Amaranth Flour
Amaranth Leaves (cooked)
Amsoi (Indian Mustard Greens)
"Apples, Fuji"
"Apples, Gala"
"Apples, Honeycrisp"
"Apples, Red Delicious"
"Apricot, with Skin, Pitted, Raw"
Arame (seaweed)
Arrowhead Root (cooked)
Arrowroot Powder
Artichoke (cooked)
"Arugula, Baby, Raw"
Asparagus (cooked)
Atemoya
Avocado
"Avocado, Hass, Peeled"
Bael Fruit (raw)
Bambara Groundnut (cooked)
Bamboo Shoots (cooked)
Banana
Banana Blossom (cooked)
"Bananas, Overripe"
"Bananas, Slightly Ripe"
Baobab Fruit Powder
Barberry
Barley (cooked)
Beets (cooked)
"Beets, Raw"
Beluga Lentils (cooked)
Bitter Melon
Bitter Melon Leaves (cooked)
Black Beans (cooked)
Black Garlic
Black Radish
Black Sapote (chocolate pudding fruit)
Black Soybeans (cooked)
Blackberries
"Blackberries, Raw"
Blueberries
"Blueberries, Raw"
Bok Choy (raw)
Bok Choy Flowers
"Bok Choy, Raw"
Borage Flowers (raw)
Borage Leaves (cooked)
Brazil Nuts
Brazilian Nutsedge (Tigernuts)
Breadfruit (cooked)
Breadfruit (roasted)
Breadnut (cooked)
Broccoli (steamed)
"Broccoli, Raw"
Broccolini (cooked)
Brown Rice (cooked)
Brussels Sprouts (cooked)
Buckwheat (cooked)
Burdock Root
Burdock Root (cooked)
"Butternut Squash, Baked, No Salt"
Cabbage (raw)
"Cabbage, Green, Raw"
"Cactus Paddle (Nopal, raw)"
Camu Camu (powder)
Canistel (eggfruit)
Cape Gooseberries
Carrots (raw)
"Carrots, Baby, Raw"
Cashews
Cassava Leaves (boiled)
Cattail Shoots (cooked)
Cauliflower (raw)
"Cauliflower, White, Raw"
Celeriac (celery root)
Celeriac (cooked)
Celery
"Celery, Raw"
"Celtuce (stem lettuce, cooked)"
Ceylon Spinach (cooked)
"Chard, Swiss, Raw"
"Chaya (Tree Spinach, cooked)"
Chaya Shoots (cooked)
Chayote (cooked)
Chayote Leaves
Chayote Root (cooked)
Cherimoya
Chervil
Chia Seeds
Chia Sprouts
Chickpeas (cooked)
"Chickpeas, Cooked"
Chickweed (raw)
Chicory Greens
Chikoo (Sapodilla)
"Chili Peppers, Red, Raw"
Chinese Mustard Greens (Gai Choy)
Chinese Water Spinach (Kangkong)
Chokeberries (Aronia)
Cholla Cactus Buds (dried)
Chufa Flour (Tiger Nut Flour)
Cloudberries
Coconut Meat (raw)
Coconut Water
"Collard Greens, Raw"
Corn Smut (Huitlacoche)
"Corn, Yellow, Cooked"
Cranberries (fresh)
Cranberry Beans (cooked)
Cress (garden cress)
"Crosne (Chinese Artichoke, cooked)"
Cucumber (with skin)
"Cucumber, With Skin, Raw"
Cupuacu
Curry Leaves (cooked)
Daikon Radish (raw)
Dandelion Greens
"Dandelion Greens, Raw"
Dates
"Dates, Medjool"
Desert Lime
Desert Lime Leaves (raw)
Desert Prickly Pear (raw)
Edamame (cooked)
"Edamame, Cooked"
"Eggplant, Raw"
"Elephant Apple (Dillenia indica, raw)"
Elephant Foot Yam (cooked)
Elephant Garlic (raw)
Enoki Mushrooms
"Enset (false banana, cooked)"
Fava Beans (cooked)
Feijoa (Pineapple Guava)
Fennel (bulb)
Fennel Pollen
"Fennel, Bulb, Raw"
Fiddlehead Ferns (raw)
Fiddleheads (cooked)
Figs (raw)
"Figs, Raw"
Freekeh (cooked)
Fuzzy Melon (cooked)
"Gai Lan (Chinese Broccoli, cooked)"
Galangal Root (raw)
Garbanzo Sprouts
Garden Cress (raw)
Garlic (raw)
"Garlic, Raw"
"Ginger Root, Raw"
"Gnetum Leaves (Eru, cooked)"
Goji Berries (dried)
Golden Berries (dried)
Grapefruit (pink)
"Grapefruit, Pink, Raw"
"Grapes, Red, Seedless, Raw"
Green Apple
Green Banana (boiled)
"Green Beans, Raw"
Green Chickpeas (cooked)
Green Garlic
Green Mango
"Green Onion (Scallions), Raw"
Green Papaya
Green Peas (cooked)
Green Sorrel
Guaje Seeds (Leucaena)
Guava
"Guava, Raw"
Hearts of Palm (canned)
Hemp Seeds
Hibiscus Leaves (cooked)
Horned Melon
"Hornwort (aquatic plant, cooked)"
Ice Apple (Taal fruit)
Ice Plant (cooked)
